23 48
31 9.0 22.0
32 10.0 23.0
34 11.0 23.0
77 14.0 23.0
78 14.0 21.0
35 15.0 22.0
76 16.0 23.0
70 17.0 22.0
74 17.0 23.0
39 20.0 23.0
42 25.0 24.0
90 29.0 29.0
41 24.0 22.0
85 22.0 6.0
1 21.0 4.0
4 20.0 8.0
6 21.0 9.0
7 17.0 8.0
19 14.0 15.0
24 13.0 15.0
15 10.0 15.0
94 11.0 18.0
28 9.0 19.0
31 32 1.4142135623730951
32 31 1.4142135623730951
32 34 1.0
34 32 1.0
34 77 3.0
77 34 3.0
77 78 2.0
78 77 2.0
78 35 1.4142135623730951
35 78 1.4142135623730951
35 76 1.4142135623730951
76 35 1.4142135623730951
76 74 1.0
74 76 1.0
74 70 1.0
70 74 1.0
74 39 3.0
39 74 3.0
39 42 5.0990195135927845
42 39 5.0990195135927845
42 90 6.4031242374328485
90 42 6.4031242374328485
42 41 2.23606797749979
41 42 2.23606797749979
85 1 2.23606797749979
1 85 2.23606797749979
85 4 2.8284271247461903
4 85 2.8284271247461903
4 6 1.4142135623730951
6 4 1.4142135623730951
41 19 12.206555615733702
19 41 12.206555615733702
19 7 7.615773105863909
7 19 7.615773105863909
19 24 1.0
24 19 1.0
24 15 3.0
15 24 3.0
24 94 3.605551275463989
94 24 3.605551275463989
94 28 2.23606797749979
28 94 2.23606797749979
94 78 4.242640687119285
78 94 4.242640687119285
76 77 2.0
77 76 2.0
41 85 16.1245154965971
85 41 16.1245154965971
